elapsed,g_forward_cmd,g_turn_cmd,g_shortest_bearing,g_shortest
0.00,0.00,0.00,327.00,1.53
0.20,0.00,0.00,258.00,0.67
0.20,0.00,0.00,268.00,0.68
0.20,0.00,0.00,257.00,0.68
0.20,0.00,0.00,259.00,0.67
0.20,0.00,0.00,266.00,0.68
0.21,0.00,0.00,259.00,0.67
0.19,0.00,0.00,264.00,0.68
0.20,0.00,0.00,263.00,0.67
0.20,0.00,0.00,253.00,0.68
0.20,0.00,0.00,260.00,0.67
0.20,0.00,0.00,263.00,0.68
0.21,0.00,0.00,259.00,0.68
0.19,0.00,0.00,268.00,0.67
0.20,0.00,0.00,260.00,0.67
0.20,0.00,0.00,267.00,0.68
0.21,0.01,0.00,266.00,0.68
0.18,0.01,0.00,259.00,0.68
0.20,0.02,0.00,268.00,0.67
0.20,0.03,0.00,264.00,0.67
0.20,0.04,0.00,264.00,0.68
0.20,0.05,0.00,258.00,0.68
0.20,0.06,0.00,265.00,0.68
0.20,0.06,0.00,264.00,0.68
0.20,0.07,0.00,266.00,0.68
0.20,0.08,0.00,259.00,0.68
0.20,0.09,0.00,271.00,0.68
0.20,0.10,0.00,264.00,0.69
0.21,0.10,0.00,255.00,0.69
0.20,0.11,0.00,267.00,0.69
0.20,0.11,0.00,260.00,0.70
0.20,0.11,0.00,265.00,0.70
0.20,0.11,0.00,258.00,0.70
0.20,0.11,0.00,269.00,0.70
0.20,0.11,0.00,259.00,0.70
0.20,0.11,0.00,253.00,0.71
0.20,0.12,0.00,259.00,0.70
0.20,0.13,0.00,266.00,0.71
0.22,0.14,0.00,270.00,0.72
0.18,0.15,0.00,266.00,0.72
0.20,0.15,0.00,259.00,0.72
0.20,0.15,0.00,255.00,0.73
0.20,0.15,0.00,266.00,0.73
0.20,0.15,0.00,257.00,0.73
0.20,0.15,0.00,263.00,0.74
0.20,0.16,0.00,258.00,0.74
0.20,0.17,0.00,262.00,0.75
0.20,0.17,0.00,259.00,0.75
0.20,0.18,0.00,261.00,0.76
0.20,0.19,0.00,263.00,0.76
0.20,0.20,0.00,264.00,0.77
0.20,0.21,0.00,261.00,0.77
0.20,0.22,0.00,265.00,0.79
0.20,0.22,0.00,267.00,0.78
0.21,0.22,0.00,265.00,0.76
0.21,0.22,0.00,261.00,0.80
0.18,0.22,0.00,257.00,0.82
0.20,0.22,0.00,250.00,0.82
0.20,0.22,0.00,251.00,0.84
0.20,0.22,0.00,248.00,0.85
0.21,0.22,0.00,245.00,0.88
0.20,0.22,0.00,243.00,0.88
0.19,0.22,0.00,240.00,0.90
0.20,0.22,0.00,238.00,0.91
0.20,0.22,0.00,236.00,0.95
0.20,0.22,0.00,233.00,0.97
0.20,0.22,0.00,231.00,1.01
0.21,0.22,0.00,230.00,1.04
0.19,0.22,0.00,228.00,1.06
0.20,0.22,0.00,226.00,1.10
0.20,0.22,0.00,225.00,1.13
0.20,0.22,0.00,223.00,1.16
0.20,0.22,0.00,222.00,1.18
0.20,0.22,0.00,220.00,1.21
0.20,0.22,0.00,218.00,1.26
0.21,0.22,0.00,217.00,1.28
0.19,0.22,0.00,217.00,1.33
0.20,0.22,0.00,215.00,1.36
